WARNING 2025-04-10 11:24:43,964 basehttp 103267 140266447042112 "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:24:43,970 log 103267 140266396685888 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-04-10 11:24:43,976 basehttp 103267 140266396685888 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:24:43,985 log 103267 140266430256704 Not Found: /static/admin/js/vendor/jquery/jquery.min.js
WARNING 2025-04-10 11:24:43,994 basehttp 103267 140266430256704 "GET /static/admin/js/vendor/jquery/jquery.min.js HTTP/1.1" 404 179
WARNING 2025-04-10 11:24:43,999 log 103267 140266430256704 Not Found: /static/admin/css/responsive.css
WARNING 2025-04-10 11:24:44,000 basehttp 103267 140266430256704 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:24:44,015 log 103267 140266438649408 Not Found: /static/admin/js/core.js
WARNING 2025-04-10 11:24:44,035 basehttp 103267 140266438649408 "GET /static/admin/js/core.js HTTP/1.1" 404 179
WARNING 2025-04-10 11:24:44,045 log 103267 140266447042112 Not Found: /static/admin/js/admin/RelatedObjectLookups.js
WARNING 2025-04-10 11:24:44,048 log 103267 140266396685888 Not Found: /static/admin/js/actions.js
WARNING 2025-04-10 11:24:44,050 log 103267 140266438649408 Not Found: /static/admin/js/urlify.js
WARNING 2025-04-10 11:24:44,061 basehttp 103267 140266438649408 "GET /static/admin/js/urlify.js HTTP/1.1" 404 179
WARNING 2025-04-10 11:24:44,059 basehttp 103267 140266396685888 "GET /static/admin/js/actions.js HTTP/1.1" 404 179
WARNING 2025-04-10 11:24:44,056 basehttp 103267 140266447042112 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 404 179
INFO 2025-04-10 11:24:44,094 basehttp 103267 140266405078592 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
WARNING 2025-04-10 11:24:44,098 log 103267 140266430256704 Not Found: /static/admin/js/prepopulate.js
WARNING 2025-04-10 11:24:44,098 basehttp 103267 140266430256704 "GET /static/admin/js/prepopulate.js HTTP/1.1" 404 179
WARNING 2025-04-10 11:24:44,112 log 103267 140266438649408 Not Found: /static/admin/img/search.svg
WARNING 2025-04-10 11:24:44,116 log 103267 140266405078592 Not Found: /static/admin/js/vendor/xregexp/xregexp.min.js
WARNING 2025-04-10 11:24:44,118 basehttp 103267 140266438649408 "GET /static/admin/img/search.svg HTTP/1.1" 404 179
WARNING 2025-04-10 11:24:44,122 log 103267 140266421864000 Not Found: /static/admin/js/jquery.init.js
WARNING 2025-04-10 11:24:44,134 basehttp 103267 140266421864000 "GET /static/admin/js/jquery.init.js HTTP/1.1" 404 179
WARNING 2025-04-10 11:24:44,164 basehttp 103267 140266405078592 "GET /static/admin/js/vendor/xregexp/xregexp.min.js HTTP/1.1" 404 179
WARNING 2025-04-10 11:24:44,169 log 103267 140266413471296 Not Found: /static/admin/js/vendor/jquery/jquery.min.js
WARNING 2025-04-10 11:24:44,172 basehttp 103267 140266413471296 "GET /static/admin/js/vendor/jquery/jquery.min.js HTTP/1.1" 404 179
WARNING 2025-04-10 11:24:44,193 log 103267 140266413471296 Not Found: /static/admin/js/admin/RelatedObjectLookups.js
WARNING 2025-04-10 11:24:44,194 basehttp 103267 140266413471296 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 404 179
WARNING 2025-04-10 11:24:44,199 log 103267 140265914365504 Not Found: /static/admin/js/core.js
WARNING 2025-04-10 11:24:44,212 basehttp 103267 140265914365504 "GET /static/admin/js/core.js HTTP/1.1" 404 179
INFO 2025-04-10 11:24:44,263 basehttp 103267 140265905972800 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
WARNING 2025-04-10 11:24:44,278 log 103267 140265897580096 Not Found: /static/admin/js/urlify.js
WARNING 2025-04-10 11:24:44,280 log 103267 140265914365504 Not Found: /static/admin/js/jquery.init.js
WARNING 2025-04-10 11:24:44,283 log 103267 140266413471296 Not Found: /static/admin/js/actions.js
WARNING 2025-04-10 11:24:44,286 basehttp 103267 140265914365504 "GET /static/admin/js/jquery.init.js HTTP/1.1" 404 179
WARNING 2025-04-10 11:24:44,287 basehttp 103267 140266413471296 "GET /static/admin/js/actions.js HTTP/1.1" 404 179
WARNING 2025-04-10 11:24:44,293 basehttp 103267 140265897580096 "GET /static/admin/js/urlify.js HTTP/1.1" 404 179
WARNING 2025-04-10 11:24:44,463 log 103267 140266405078592 Not Found: /static/admin/css/changelists.css
WARNING 2025-04-10 11:24:44,465 log 103267 140266438649408 Not Found: /static/admin/css/base.css
WARNING 2025-04-10 11:24:44,467 basehttp 103267 140266405078592 "GET /static/admin/css/changelists.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:24:44,467 basehttp 103267 140266438649408 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2025-04-10 11:24:44,509 log 103267 140266438649408 Not Found: /static/admin/js/filters.js
WARNING 2025-04-10 11:24:44,522 log 103267 140266430256704 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2025-04-10 11:24:44,527 log 103267 140266421864000 Not Found: /static/admin/css/responsive.css
WARNING 2025-04-10 11:24:44,528 log 103267 140266405078592 Not Found: /static/admin/js/theme.js
WARNING 2025-04-10 11:24:44,529 basehttp 103267 140266438649408 "GET /static/admin/js/filters.js HTTP/1.1" 404 179
